Protocol,Src Port,Dst port,Packet Count,First Timestamp,Last Timestamp,Mean Packet Length
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,319
Ether,49748,443,1,Unknown,Unknown,54
Ether,61161,5355,1,Unknown,Unknown,64
Ether,49757,443,1,Unknown,Unknown,159
Ether,443,49757,1,Unknown,Unknown,60
Ether,49757,443,1,Unknown,Unknown,950
Ether,443,49757,1,Unknown,Unknown,60
Ether,443,49757,1,Unknown,Unknown,120
Ether,49757,443,1,Unknown,Unknown,92
Ether,443,49757,1,Unknown,Unknown,60
Ether,62034,53,1,Unknown,Unknown,77
Ether,54179,53,1,Unknown,Unknown,77
Ether,53,62034,1,Unknown,Unknown,125
Ether,53,54179,1,Unknown,Unknown,167
Ether,443,49757,1,Unknown,Unknown,496
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1348
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1378
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1378
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,435
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,661
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
Ether,443,49757,1,Unknown,Unknown,1514
